                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6691,                 2.5144,                 1.7843,                 0.2553,                 0.3787,                0.25703,                0.09417,                 2.1932,                 1.6484,                 1.6102,               0.000657,               0.000657,               0.000657
                      1,                 2.2937,                 1.4931,                 1.4778,                0.59318,                0.54138,                0.56109,                 0.1964,                 2.1512,                  1.307,                 1.5911,              0.0013106,              0.0013106,              0.0013106
                      2,                 2.2349,                  1.404,                 1.4449,                 0.4565,                0.47781,                0.44345,                0.16639,                 2.1107,                 1.4497,                 1.5472,              0.0019509,              0.0019509,              0.0019509
                      3,                 2.1321,                 1.2938,                 1.4009,                0.63643,                0.56213,                0.60323,                 0.2245,                 2.0164,                 1.3151,                 1.5629,              0.0019406,              0.0019406,              0.0019406
                      4,                  2.136,                 1.3159,                 1.4071,                0.69379,                0.61538,                0.67468,                0.25077,                 1.8905,                   1.23,                 1.4538,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1157,                 1.2552,                 1.3851,                0.67125,                0.64941,                 0.6646,                 0.2587,                 1.9145,                 1.1757,                 1.4489,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.0793,                 1.2317,                  1.367,                0.71598,                0.64514,                0.71901,                0.29774,                 1.8893,                 1.1007,                  1.449,               0.001901,               0.001901,               0.001901
                      7,                 2.0755,                 1.2062,                 1.3572,                0.69956,                0.68787,                0.73906,                0.30897,                 1.8293,                 1.0097,                 1.3997,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0763,                 1.1799,                 1.3459,                0.42813,                0.50296,                0.44683,                 0.1529,                 2.1787,                  1.552,                 1.5633,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.0464,                  1.178,                 1.3479,                0.74226,                0.67736,                 0.7482,                0.31049,                 1.8249,                 1.0246,                 1.3805,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.046,                 1.1715,                 1.3501,                0.78133,                0.67658,                0.75256,                0.30996,                  1.927,                   1.02,                 1.4873,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0093,                 1.1337,                 1.3378,                0.71075,                0.71154,                0.75455,                0.30532,                 1.8583,                 1.0087,                 1.4108,               0.001802,               0.001802,               0.001802
                     12,                 2.0008,                  1.127,                 1.3299,                0.75404,                0.69675,                 0.7563,                0.31558,                 1.8118,                0.97921,                 1.3785,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.0118,                 1.1192,                 1.3327,                0.73768,                0.74879,                0.74798,                0.31641,                 1.9152,                0.98154,                 1.4866,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.0059,                 1.1001,                 1.3255,                0.76574,                0.73017,                0.78605,                0.33017,                 1.8083,                0.94058,                 1.3871,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.9564,                  1.078,                 1.2986,                 0.7463,                0.72337,                 0.7812,                0.33319,                 1.8287,                 1.0276,                 1.3959,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9965,                 1.0853,                 1.3252,                0.76398,                0.70866,                0.77955,                0.31077,                 1.8575,                 0.9783,                 1.4069,               0.001703,               0.001703,               0.001703
